Name,ID,Overall Impact,criticality,Data Related,WCAG Level,Difficulty to Fix in Post-deployment,Missing Label Related,Description,Help,URL
Table Has No Data Cell,th-has-data-cells,severe (2),critical (1),Yes,A,Difficult (2),No,Ensure that <th> elements and elements with role=columnheader/rowheader have data cells they describe,Table headers in a data table must refer to data cells,https://dequeuniversity.com/rules/axe/4.9/th-has-data-cells?application=playwright
Lang Wtih Error (invalid language),valid-lang,moderate (1),critical (1),Yes,A,Moderate (1),No,Ensures lang attributes have valid values,lang attribute must have a valid value,https://dequeuniversity.com/rules/axe/4.9/valid-lang?application=playwright
Aria Hidden Has Focusable Element,aria-hidden-focus,moderate (1),critical (1),Yes,A,Moderate (1),No,Ensures aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.9/aria-hidden-focus?application=playwright
Form Has Multiple Labels,form-field-multiple-labels,minor (0),less critical (0),Yes,A,Moderate (1),No,Ensures form field does not have multiple label elements,Form field must not have multiple label elements,https://dequeuniversity.com/rules/axe/4.9/form-field-multiple-labels?application=playwright
Form Button Has No Label,input-button-name,severe (2),critical (1),Yes,A,Difficult (2),Yes,Ensures input buttons have discernible text,Input buttons must have discernible text,https://dequeuniversity.com/rules/axe/4.9/input-button-name?application=playwright
Input Has No Label,label-title-only,severe (2),critical (1),Yes,A,Difficult (2),Yes,"Ensures that every form element has a visible label and is not solely labeled using hidden labels, or the title or aria-describedby attributes",Form elements should have a visible label,https://dequeuniversity.com/rules/axe/4.9/label-title-only?application=playwright
Autocomplete Not Valid,autocomplete-valid,moderate (1),critical (1),Yes,AA,Difficult (2),No,Ensure the autocomplete attribute is correct and suitable for the form field,autocomplete attribute must be used correctly,https://dequeuniversity.com/rules/axe/4.9/autocomplete-valid?application=playwright
Button Has No Label,button-name,severe (2),critical (1),Yes,A,Difficult (2),Yes,Ensures buttons have discernible text,Buttons must have discernible text,https://dequeuniversity.com/rules/axe/4.9/button-name?application=playwright
Tabindex Not Valid,tabindex,moderate (1),critical (1),Yes,N/A,Moderate (1),No,Ensures tabindex attribute values are not greater than 0,Elements should not have tabindex greater than zero,https://dequeuniversity.com/rules/axe/4.9/tabindex?application=playwright
Description List Has Bad Structure (dl structure),definition-list,severe (2),critical (1),Yes,A,Difficult (2),No,Ensures <dl> elements are structured correctly,"<dl> elements must only directly contain properly-ordered <dt> and <dd> groups, <script>, <template> or <div> elements",https://dequeuniversity.com/rules/axe/4.9/definition-list?application=playwright
Description List Has Bad Structure (dl missing),dlitem,severe (2),critical (1),Yes,A,Difficult (2),No,Ensures <dt> and <dd> elements are contained by a <dl>,<dt> and <dd> elements must be contained by a <dl>,https://dequeuniversity.com/rules/axe/4.9/dlitem?application=playwright
